
폭염일수
[검색조건]
자료구분 : 년
지역/지점 : 전국
기간 : 1973~2022

년,폭염일수,평균 최고기온(℃)
1973,14.3,17.8
1974,4.8,16.9
1975,9.0,17.8
1976,2.8,17.1
1977,10.0,18.0
1978,14.7,18.5
1979,5.0,18.3
1980,0.6,16.7
1981,7.7,17.1
1982,7.4,18.3
1983,10.2,17.9
1984,12.3,17.5
1985,13.7,17.4
1986,5.2,17.1
1987,1.9,17.9
1988,10.4,17.9
1989,4.3,18.4
1990,16.4,18.4
1991,3.7,17.9
1992,6.0,18.1
1993,0.1,17.3
1994,29.6,19.1
1995,10.4,18.0
1996,15.7,17.9
1997,11.9,18.7
1998,2.5,18.9
1999,5.2,18.3
2000,11.1,18.1
2001,11.6,18.4
2002,5.4,18.1
2003,1.3,17.7
2004,14.8,19.0
2005,9.7,17.9
2006,13.5,18.3
2007,8.9,18.7
2008,11.2,18.5
2009,3.6,18.6
2010,12.2,17.9
2011,6.5,17.7
2012,14.0,17.6
2013,16.6,18.4
2014,6.6,18.6
2015,9.6,18.8
2016,22.0,18.9
2017,13.5,18.7
2018,31.0,18.6
2019,12.9,19.0
2020,7.7,18.4
2021,11.8,18.8
2022,10.6,18.6

